season,game_id,week,is_postseason,neutral_site,conf_tier,canonical_home,canonical_away,home_conf,away_conf,home_score,away_score,actual_margin,actual_total,posted_spread,posted_total,sp_diff,elo_diff_scaled,rating_diff_blend,ppa_diff,success_rate_diff,expl_diff,rush_rate_diff,third_down_diff,scheme_adj,sp_st_diff,turnover_margin_diff,returning_pct_diff,talent_diff,portal_index_diff,effective_hfa,home_sp,away_sp,home_elo,away_elo
2013,332502390,2,0,0,1,Miami,Florida,ACC,SEC,21,16,5,37,2,47,-19.8,-4.362627601129597,-16.993205018387197,0.14999999999999997,0,0,-0.0761110940239289,-0.03953488372093028,-0.2712487927905761,-2.4,7,NA,-21.339999999999975,NA,3.5,8.2,28,1554,1646
2013,332500096,2,0,0,0,Kentucky,Miami (OH),SEC,Mid-American,41,7,34,48,-14.5,54.5,7.5,17.782449461126074,9.369536265659285,0.09999999999999998,0,0,-0.05509275328782448,0.06358192705498095,-0.061957653592502604,-1.7,2,NA,NA,NA,3,-8.7,-16.2,1235,860
2013,332500127,2,0,0,0,Michigan State,South Florida,Big Ten,American Athletic,21,6,15,27,-17.5,41.5,15.600000000000001,33.66810431306536,18.885109875102792,-0.05,0,0,0.06817292152487686,0.15436861551836556,0.35752210310869526,0.19999999999999996,16,NA,NA,NA,3,12.4,-3.2,1941,1231
2013,332500218,2,0,0,0,Temple,Houston,American Athletic,American Athletic,13,22,-9,35,2.5,67,-6,-11.143668328972339,-6.935212423449515,0.13,0,0,0.04592764702943086,0.0659443755106982,-0.33702783190925895,1.6999999999999997,-31,NA,NA,NA,2.5,-11.6,-5.6,1433,1668
2013,332500356,2,0,0,0,Illinois,Cincinnati,Big Ten,American Athletic,45,17,28,62,10.5,55.5,-20.9,-14.652738355967884,-19.764134246539612,0.08,0,0,-0.04926202506418442,-0.00773993808049539,-0.33378647378108117,0,-3,NA,NA,NA,3,-9.8,11.1,1347,1656
2013,332502636,2,0,0,0,UTSA,Oklahoma State,Conference USA,Big 12,35,56,-21,91,28.5,59.5,-44.1,-27.408682102748983,-41.06521492777254,0.13,0,0,-0.0012719046893626684,0.06331499437672877,-0.33920798543354785,-3.7,-22,NA,NA,NA,2,-20.1,24,1426,2004
2013,332502309,2,0,0,0,Kent State,Bowling Green,Mid-American,Mid-American,22,41,-19,63,8,43,3.9,-19.347305013705167,-0.32678272976457645,-0.09,0,0,-0.04336857403105143,-0.06227828143476549,-0.2714748897235669,4.7,-14,NA,NA,NA,2.5,-0.1,-4,1384,1792
2013,332500213,2,0,0,0,Penn State,Eastern Michigan,Big Ten,Mid-American,45,7,38,52,-24,48.5,37.1,37.27201407052024,37.13127528554913,-0.08,0,0,-0.019232879796259983,0.0035170829744473053,0.6630794557555121,-2.9,10,NA,NA,NA,4,14.1,-23,1616,830
2013,332502633,2,0,0,0,Tennessee,Western Kentucky,SEC,Sun Belt,52,20,32,72,-12.5,59.5,19.8,-1.5648555525790944,15.915480808621982,-0.11,0,0,0.037282160625444205,-0.1035347504179604,-0.17005100213219626,2.5999999999999996,11,NA,NA,NA,4,15.1,-4.7,1421,1454
2013,332500153,2,0,0,0,North Carolina,Middle Tennessee,ACC,Conference USA,40,20,20,60,-21.5,67,21.6,22.192496927485337,21.707726714088242,1.3877787807814457e-17,0,0,-0.04658197562459554,-0.05332557688578632,0.2105971939861675,1.7000000000000002,-10,NA,NA,NA,3,14.1,-7.5,1827,1359
2013,332502050,2,0,0,0,Ball State,Army,Mid-American,FBS Independents,40,14,26,54,-8,59.5,20.5,19.110205687556817,20.247310125010326,-0.039999999999999994,0,0,-0.34839015151515157,0.01848739495798324,0.4901856060606061,3.6,11,NA,NA,NA,2.5,-2.6,-23.1,1577,1174
2013,332502655,2,0,0,0,Tulane,South Alabama,Conference USA,Sun Belt,39,41,-2,80,-7,48.5,3,-5.358444770952656,1.4802827689176985,-0.21000000000000002,0,0,-0.023402924388146062,-0.044329896907216504,0.4206186566580654,1.9,6,NA,NA,NA,3,-22.5,-25.5,1311,1424
2013,332502005,2,0,0,0,Air Force,Utah State,Mountain West,Mountain West,20,52,-32,72,8,57.5,-21,-33.28874539122801,-23.234317343859637,0.22,0,0,0.23372592372124668,-0.010725741780272635,-1.073571155236192,-2.8,-15,NA,NA,NA,3,-10,11,1071,1773
2013,332500142,2,0,0,0,Missouri,Toledo,SEC,Mid-American,38,23,15,61,-11.5,65,7.9,15.790815121479952,9.3346936584509,-0.01999999999999999,0,0,-0.007468072850139951,0.01709169831795987,0.34640373585790624,-1.5,12,NA,NA,NA,3,3.9,-4,1873,1540
2013,332500258,2,0,0,1,Virginia,Oregon,ACC,Pac-12,10,59,-49,69,23.5,60,-27.5,-38.1255716446543,-29.431922117209872,-0.19999999999999998,0,0,-0.09230427574666755,-0.05133733624454151,0.006153521977823373,0.6000000000000001,-16,NA,-27.370000000000005,NA,2.5,-0.3,27.2,1197,2001
2013,332500194,2,0,0,0,Ohio State,San Diego State,Big Ten,Mountain West,42,7,35,49,-24,55,21.400000000000002,24.658329919428155,21.99242362171421,0.11999999999999998,0,0,0.10840933988158985,0.059872682913149566,-0.15402680846349842,1.5,16,NA,NA,NA,4.5,23.8,2.4,1996,1476
2013,332500239,2,0,0,0,Baylor,Buffalo,Big 12,Mid-American,70,13,57,83,-21.5,67.5,27.3,27.693201294127004,27.371491144386727,0.02999999999999997,0,0,0.025354830617226765,0.0712822513778471,0.3247384336314779,0.3999999999999999,-2,NA,NA,NA,3,11,-16.3,2040,1456
2013,332500120,2,0,0,0,Maryland,Old Dominion,ACC,NA,47,10,37,57,-18.5,NA,0,0,0,0.11,0,0,0,0,-0.30400000000000005,NA,NA,NA,NA,NA,2.5,-7.8,NA,1476,NA
2013,332500235,2,0,0,0,Memphis,Duke,American Athletic,ACC,14,28,-14,42,6,52,-2.9000000000000004,-15.93307471716896,-5.269649948576175,-0.11000000000000001,0,0,0.012752160673282553,-0.08864161849710983,0.225796024558257,-1,-9,NA,NA,NA,3,-10,-7.1,1241,1577
2013,332500061,2,0,0,1,Georgia,South Carolina,SEC,SEC,41,30,11,71,-4.5,55,11.899999999999999,-8.298476415192166,8.227549742692332,0.030000000000000013,0,0,-0.06940993788819882,-0.02322623828647924,-0.03198136645962729,1.4000000000000001,-20,NA,24.799999999999983,NA,4.5,28,16.1,1870,2045
