game_id,week,season_type,neutral_site,canonical_away,canonical_home,home_conf,away_conf,conf_tier,conf_tier_label,home_score,away_score,actual_margin,home_sp,away_sp,rating_diff,effective_hfa,ppa_diff,success_rate_diff,ppa_adj,success_adj,ppa_active,proj_spread_sp,proj_spread,pred_home_margin_sp,pred_home_margin,pred_error_sp,abs_error_sp,pred_error,abs_error,posted_spread,model_edge,bet_qualifies,bet_side,bet_covered
401752671,1,regular,FALSE,LSU,Clemson,ACC,SEC,1,P4 (SEC/Big Ten/Big 12/ACC),10,17,-7,13.3,15.9,-2.5999999999999996,4.5,0.16,NA,0.8,0,TRUE,-1.9000000000000004,-2.7,1.9000000000000004,2.7,8.9,8.9,9.7,9.7,-3.5,-0.7999999999999998,FALSE,NA,NA
401757225,1,regular,FALSE,UTEP,Utah State,Mountain West,Conference USA,2,G5,28,16,12,-10.4,-22.7,12.299999999999999,3,0.29000000000000004,NA,1.4500000000000002,0,TRUE,-15.299999999999999,-16.75,15.299999999999999,16.75,3.299999999999999,3.299999999999999,4.75,4.75,-3.5,13.25,FALSE,NA,NA
401752808,1,regular,FALSE,New Mexico,Michigan,Big Ten,Mountain West,1,P4 (SEC/Big Ten/Big 12/ACC),34,17,17,10.6,-14.8,25.4,4,0,NA,0,0,TRUE,-29.4,-29.4,29.4,29.4,12.399999999999999,12.399999999999999,12.399999999999999,12.399999999999999,-36.5,-7.100000000000001,TRUE,away,TRUE
401752672,1,regular,FALSE,Georgia State,Ole Miss,SEC,Sun Belt,1,P4 (SEC/Big Ten/Big 12/ACC),63,7,56,27.9,-17.9,45.8,3.5,0.019999999999999962,NA,0.09999999999999981,0,TRUE,-49.3,-49.4,49.3,49.4,-6.700000000000003,6.700000000000003,-6.600000000000001,6.600000000000001,-38.5,10.899999999999999,TRUE,home,TRUE
401761594,1,regular,FALSE,Eastern Michigan,Texas State,Sun Belt,Mid-American,2,G5,52,27,25,5.4,-13.3,18.700000000000003,3,0.08000000000000004,NA,0.40000000000000024,0,TRUE,-21.700000000000003,-22.1,21.700000000000003,22.1,-3.299999999999997,3.299999999999997,-2.8999999999999986,2.8999999999999986,-14,8.100000000000001,TRUE,home,TRUE
401761592,1,regular,FALSE,Rice,Louisiana,Sun Belt,American Athletic,2,G5,12,14,-2,4.8,-11.4,16.2,3.5,0.010000000000000009,NA,0.050000000000000044,0,TRUE,-19.7,-19.75,19.7,19.75,21.7,21.7,21.75,21.75,-14.5,5.25,TRUE,home,FALSE
401760361,1,regular,FALSE,Georgia Southern,Fresno State,Mountain West,Sun Belt,2,G5,42,14,28,-3.8,-1.7,-2.0999999999999996,3,-0.27,NA,-1.35,0,TRUE,-0.9000000000000004,0.44999999999999973,0.9000000000000004,-0.44999999999999973,-27.1,27.1,-28.45,28.45,-2.5,-2.9499999999999997,FALSE,NA,NA
401752936,1,regular,FALSE,Cal,Oregon State,Pac-12,ACC,2,G5,15,34,-19,-6.7,4,-10.7,3,-0.04000000000000001,NA,-0.20000000000000004,0,TRUE,7.699999999999999,7.899999999999999,-7.699999999999999,-7.899999999999999,11.3,11.3,11.100000000000001,11.100000000000001,-3,-10.899999999999999,TRUE,away,TRUE
401756849,1,regular,FALSE,Hawaii,Arizona,Big 12,Mountain West,1,P4 (SEC/Big Ten/Big 12/ACC),40,6,34,-2.8,-10.9,8.100000000000001,3,-0.06,NA,-0.3,0,TRUE,-11.100000000000001,-10.8,11.100000000000001,10.8,-22.9,22.9,-23.2,23.2,-13.5,-2.6999999999999993,FALSE,NA,NA
401752800,1,regular,FALSE,Utah,UCLA,Big Ten,Big 12,1,P4 (SEC/Big Ten/Big 12/ACC),10,43,-33,-1.3,7.7,-9,3,-0.04999999999999999,NA,-0.24999999999999994,0,TRUE,6,6.25,-6,-6.25,27,27,26.75,26.75,6.5,0.25,FALSE,NA,NA
401752805,1,regular,FALSE,Colorado State,Washington,Big Ten,Mountain West,1,P4 (SEC/Big Ten/Big 12/ACC),38,21,17,3.1,-5.7,8.8,3.5,-0.010000000000000009,NA,-0.050000000000000044,0,TRUE,-12.3,-12.25,12.3,12.25,-4.699999999999999,4.699999999999999,-4.75,4.75,-20.5,-8.25,TRUE,away,TRUE
401752680,1,regular,TRUE,Virginia Tech,South Carolina,SEC,ACC,1,P4 (SEC/Big Ten/Big 12/ACC),24,11,13,16.9,10,6.899999999999999,0,-0.25,NA,-1.25,0,TRUE,-6.899999999999999,-5.649999999999999,6.899999999999999,5.649999999999999,-6.100000000000001,6.100000000000001,-7.350000000000001,7.350000000000001,-8.5,-2.8500000000000014,FALSE,NA,NA
401754522,1,regular,FALSE,Notre Dame,Miami,ACC,FBS Independents,1,P4 (SEC/Big Ten/Big 12/ACC),27,24,3,21.6,23.9,-2.299999999999997,3.5,-0.10999999999999999,NA,-0.5499999999999999,0,TRUE,-1.2000000000000028,-0.650000000000003,1.2000000000000028,0.650000000000003,-1.7999999999999972,1.7999999999999972,-2.349999999999997,2.349999999999997,2.5,3.150000000000003,FALSE,NA,NA
401754523,1,regular,FALSE,TCU,North Carolina,ACC,Big 12,1,P4 (SEC/Big Ten/Big 12/ACC),14,48,-34,5,10.8,-5.800000000000001,3,-0.12,NA,-0.6,0,TRUE,2.8000000000000007,3.4000000000000004,-2.8000000000000007,-3.4000000000000004,31.2,31.2,30.6,30.6,3,-0.40000000000000036,FALSE,NA,NA
401754528,2,regular,FALSE,James Madison,Louisville,ACC,Sun Belt,1,P4 (SEC/Big Ten/Big 12/ACC),28,14,14,13.6,7.5,6.1,3,-0.030000000000000027,NA,-0.15000000000000013,0,TRUE,-9.1,-8.95,9.1,8.95,-4.9,4.9,-5.050000000000001,5.050000000000001,-15.5,-6.550000000000001,TRUE,away,TRUE
401752826,2,regular,FALSE,Northern Illinois,Maryland,Big Ten,Mid-American,1,P4 (SEC/Big Ten/Big 12/ACC),20,9,11,-3.9,-3.5,-0.3999999999999999,2.5,0.04999999999999999,NA,0.24999999999999994,0,TRUE,-2.1,-2.35,2.1,2.35,-8.9,8.9,-8.65,8.65,-16.5,-14.15,FALSE,NA,NA
401754525,2,regular,FALSE,Baylor,SMU,ACC,Big 12,1,P4 (SEC/Big Ten/Big 12/ACC),45,48,-3,17.5,8.4,9.1,3,-0.12000000000000002,NA,-0.6000000000000001,0,TRUE,-12.1,-11.5,12.1,11.5,15.1,15.1,14.5,14.5,-2.5,9,TRUE,home,FALSE
401757227,2,regular,FALSE,Liberty,Jacksonville State,Conference USA,Conference USA,2,G5,34,24,10,-1,0.2,-1.2,3,-0.04000000000000001,NA,-0.20000000000000004,0,TRUE,-1.8,-1.6,1.8,1.6,-8.2,8.2,-8.4,8.4,6.5,8.1,TRUE,home,TRUE
